timestamp_ms,accX_g,accY_g,accZ_g,gyrX,gyrY,gyrZ,step_count,cadence_spm,peak_impact_g
1784073125721,-0.6695599,0.27304575,0.03220915,125.93,-4.41,-20.44,4,24.0,5.0164485
1784073125721,-0.38333768,1.0592419,-0.09272331,69.23,18.27,21.35,4,24.0,5.0164485
1784073125721,-0.043189544,2.709961,0.16861002,57.47,11.13,81.97,4,24.0,5.0164485
1784073125721,0.20911546,7.5064397,-0.60587364,178.36,36.54,130.34,4,24.0,7.533754
1784073125721,0.51315033,2.5796602,-1.7431982,136.36,17.99,116.48,4,24.0,7.533754
1784073125721,1.0863268,1.6055773,0.40115032,-149.73,11.13,87.01,4,24.0,7.533754
1784073125721,0.32282352,1.3366798,0.7656993,-41.79,36.19,52.22,4,24.0,7.533754
1784073125721,0.057586055,1.7073289,-0.34673637,20.79,52.71,28.14,4,24.0,7.533754
1784073125813,-0.0014640522,1.7810196,-0.13103268,-31.36,41.3,20.58,4,24.0,7.533754
1784073125813,-0.10492375,1.6175338,-0.03025708,-55.86,29.54,21.14,4,24.0,7.533754
1784073125813,-0.24254465,1.6743878,-0.13347277,-44.31,25.62,24.78,4,24.0,7.533754
1784073125813,-0.34307626,1.711233,-0.25645316,-37.59,23.87,28.49,4,24.0,7.533754
1784073125813,-0.35210457,1.6280261,-0.14786929,-43.68,22.12,28.0,4,24.0,7.533754
1784073125813,-0.32062745,1.5045577,-0.09443137,-39.2,19.95,21.49,4,24.0,7.533754
1784073125813,-0.35332462,1.4203748,-0.1429891,-30.66,14.56,13.02,4,24.0,7.533754
1784073125813,-0.3721133,1.3569325,-0.18032244,-30.1,6.44,7.42,4,24.0,7.533754
1784073125855,-0.3557647,1.2825098,-0.18422659,-35.7,-1.33,5.18,4,24.0,7.533754
1784073125855,-0.29866666,1.2100393,-0.17202614,-38.15,-7.0,5.32,4,24.0,7.533754
1784073125855,-0.26840958,1.1705098,-0.20447929,-34.16,-12.95,6.86,4,24.0,7.533754
1784073125855,-0.17080611,1.0812026,-0.11810021,-29.12,-8.4,7.07,5,30.0,7.533754
1784073125855,-0.07539869,0.9828671,-0.14518519,-21.56,3.5,3.08,5,30.0,7.533754
1784073125855,-0.057586055,0.97896296,-0.23644444,-16.03,4.13,-4.69,5,30.0,7.533754
1784073125855,0.044409584,0.8481742,-0.2918344,-16.52,-1.54,-12.6,5,30.0,7.533754
1784073125855,0.02098475,0.7864401,-0.38162962,-14.0,-1.12,-17.08,5,30.0,7.533754
1784073125989,0.10785185,0.6610196,-0.37845752,-20.23,2.8,-21.77,5,30.0,7.533754
1784073125989,0.1590937,0.4924096,-0.3811416,-27.02,10.57,-24.64,5,30.0,7.533754
1784073125989,0.07100654,0.44970804,-0.4038344,-40.670002,-0.84000003,-26.53,5,30.0,7.533754
1784073125989,0.08589107,0.33380392,-0.3103791,-40.04,-5.53,-26.11,5,30.0,7.533754
1784073125989,0.087355115,0.30891502,-0.22522004,-29.960001,-2.59,-24.57,5,30.0,7.533754
1784073125989,0.10419172,0.17885838,0.0029281045,1.26,11.9,-21.98,5,30.0,7.533754
1784073125989,-0.027328975,0.27060568,-0.030989105,11.76,24.92,-16.59,5,30.0,7.533754
1784073125989,-0.09077124,0.10028758,0.13127668,17.43,35.420002,-7.14,5,30.0,7.533754
1784073126036,-0.12395642,0.16738997,0.13274074,28.14,45.43,5.88,5,30.0,7.533754
1784073126036,-0.10419172,0.16616993,0.11248801,34.72,48.93,18.27,5,30.0,7.533754
1784073126036,-0.025376907,0.07247059,0.010980392,45.36,47.74,28.0,5,30.0,7.533754
1784073126036,0.14860131,-0.06271024,-0.08076689,31.29,36.19,36.82,5,30.0,7.533754
1784073126036,0.23790848,-0.1429891,-0.09150327,12.32,22.89,43.47,5,30.0,7.533754
1784073126036,0.2293682,-0.27524182,0.095407404,-0.98,13.72,46.69,5,30.0,7.533754
1784073126036,0.11273203,-0.29207844,0.6363748,-0.07,19.74,45.43,5,30.0,7.533754
1784073126036,0.039529413,-0.27719387,1.3766972,24.22,44.8,36.47,5,30.0,7.533754
1784073126081,-0.23180829,-0.18983878,1.5987451,87.71,91.91,17.29,5,30.0,7.533754
1784073126081,-0.6300305,-0.2042353,1.2588409,150.15,140.84,10.15,5,30.0,7.533754
1784073126081,1.3859695,-0.105167754,0.0039041394,118.65,135.87,9.87,5,30.0,7.533754
